signal shape:torch.Size([256, 2048, 1])
label shape:torch.Size([256, 512])
training: epoch 0, step 200, loss 478.974486, time: 3.358
training: epoch 2, step 1600, loss 56.694779, time: 3.413
training: epoch 2, step 1800, loss 56.611666, time: 3.414
training: epoch 2, step 2000, loss 56.630617, time: 3.413
training: epoch 2, step 2200, loss 56.486430, time: 3.413
training: epoch 2, step 2400, loss 56.482341, time: 3.413
training: epoch 2, step 2600, loss 56.464646, time: 3.413
training: epoch 2, step 2800, loss 56.492738, time: 3.413
training: epoch 2, step 3000, loss 56.484616, time: 3.413
training: epoch 2, step 3200, loss 56.416158, time: 3.413
training: epoch 2, step 3400, loss 56.260696, time: 3.413
training: epoch 2, step 3600, loss 56.136582, time: 3.413
training: epoch 2, step 3800, loss 56.004309, time: 3.413
training: epoch 2, step 4000, loss 56.001399, time: 3.409
training: epoch 2, step 4200, loss 55.899671, time: 3.407
training: epoch 2, step 4400, loss 55.862849, time: 3.405
training: epoch 2, step 4600, loss 55.761453, time: 3.414
training: epoch 2, step 4800, loss 55.725454, time: 3.410
training: epoch 2, step 5000, loss 55.676064, time: 3.411
training: epoch 2, step 5200, loss 55.583448, time: 3.413
training: epoch 2, step 5400, loss 55.449819, time: 3.410
training: epoch 2, step 5600, loss 55.354263, time: 3.410
training: epoch 2, step 5800, loss 55.316574, time: 3.410
training: epoch 2, step 6000, loss 55.275303, time: 3.407
training: epoch 2, step 6200, loss 55.232902, time: 3.410
training: epoch 2, step 6400, loss 55.185844, time: 3.411
training: epoch 2, step 6600, loss 55.087573, time: 3.413
training: epoch 2, step 6800, loss 55.013888, time: 3.408
training: epoch 2, step 7000, loss 54.923756, time: 3.409
training: epoch 2, step 7200, loss 54.842209, time: 3.411
training: epoch 2, step 7400, loss 54.787602, time: 3.409
training: epoch 2, step 7600, loss 54.715274, time: 3.408
training: epoch 2, step 7800, loss 54.622974, time: 3.410
training: epoch 2, step 7849, loss 54.603585, time: 0.836
validate: epoch 2, loss 54.096441, charcter error 9.807 time: 3.999
    - [Info] The checkpoint file has been updated.
training: epoch 3, step 200, loss 52.370226, time: 3.358
training: epoch 3, step 400, loss 51.783743, time: 3.391
training: epoch 3, step 600, loss 51.653057, time: 3.391
training: epoch 3, step 800, loss 51.762512, time: 3.401
training: epoch 3, step 1000, loss 51.775804, time: 3.405
training: epoch 3, step 1200, loss 51.669760, time: 3.405
training: epoch 3, step 1400, loss 51.612339, time: 3.403
training: epoch 3, step 1600, loss 51.562389, time: 3.403
training: epoch 3, step 1800, loss 51.603102, time: 3.402
training: epoch 3, step 2000, loss 51.570999, time: 3.411
training: epoch 3, step 2200, loss 51.662454, time: 3.412
training: epoch 3, step 2400, loss 51.508961, time: 3.409
training: epoch 3, step 2600, loss 51.490746, time: 3.411
training: epoch 3, step 2800, loss 51.520102, time: 3.413
training: epoch 3, step 3000, loss 51.467226, time: 3.411
training: epoch 3, step 3200, loss 51.386650, time: 3.412
training: epoch 3, step 3400, loss 51.410211, time: 3.407
training: epoch 3, step 3600, loss 51.308307, time: 3.404
training: epoch 3, step 3800, loss 51.302276, time: 3.431
training: epoch 3, step 4000, loss 51.186425, time: 3.466
training: epoch 3, step 4200, loss 51.118939, time: 3.889
training: epoch 3, step 4400, loss 51.092623, time: 4.038
training: epoch 3, step 4600, loss 51.038386, time: 4.089
training: epoch 3, step 4800, loss 50.915329, time: 3.908
training: epoch 3, step 5000, loss 50.840239, time: 3.667
training: epoch 3, step 5200, loss 50.811720, time: 3.990
training: epoch 3, step 5400, loss 50.747601, time: 4.068
training: epoch 3, step 5600, loss 50.737821, time: 4.090
training: epoch 3, step 5800, loss 50.677289, time: 4.039
training: epoch 3, step 6000, loss 50.673060, time: 4.126
training: epoch 3, step 6200, loss 50.628198, time: 4.058
training: epoch 3, step 6400, loss 50.562522, time: 4.060
training: epoch 3, step 6600, loss 50.538899, time: 4.065
training: epoch 3, step 6800, loss 50.488162, time: 4.090
training: epoch 3, step 7000, loss 50.510456, time: 4.080
training: epoch 3, step 7200, loss 50.460037, time: 4.098
training: epoch 3, step 7400, loss 50.408391, time: 4.069
training: epoch 3, step 7600, loss 50.454996, time: 4.053
training: epoch 3, step 7800, loss 50.446637, time: 4.070
training: epoch 3, step 7849, loss 50.456446, time: 0.990
validate: epoch 3, loss 49.433539, charcter error 9.026 time: 5.931
    - [Info] The checkpoint file has been updated.
training: epoch 4, step 200, loss 49.377947, time: 4.047
training: epoch 4, step 400, loss 49.685509, time: 4.079
training: epoch 4, step 600, loss 49.298112, time: 4.029
training: epoch 4, step 800, loss 48.835576, time: 4.034
training: epoch 4, step 1000, loss 48.947550, time: 4.026
training: epoch 4, step 1200, loss 48.942199, time: 4.043
training: epoch 4, step 1400, loss 49.000189, time: 4.054
training: epoch 4, step 1600, loss 49.007586, time: 4.103
training: epoch 4, step 1800, loss 48.966975, time: 4.061
training: epoch 4, step 2000, loss 49.090462, time: 4.127
training: epoch 4, step 2200, loss 49.116276, time: 4.196
training: epoch 4, step 2400, loss 49.017483, time: 4.201
training: epoch 4, step 2600, loss 48.987548, time: 4.165
training: epoch 4, step 2800, loss 48.843051, time: 4.196
training: epoch 4, step 3000, loss 48.852956, time: 4.169
training: epoch 4, step 3200, loss 48.687301, time: 4.236
training: epoch 4, step 3400, loss 48.612227, time: 4.189
training: epoch 4, step 3600, loss 48.551743, time: 4.128
training: epoch 4, step 3800, loss 48.457391, time: 4.191
training: epoch 4, step 4000, loss 48.385821, time: 4.201
training: epoch 4, step 4200, loss 48.399767, time: 4.121
training: epoch 4, step 4400, loss 48.453438, time: 4.179
training: epoch 4, step 4600, loss 48.426020, time: 4.125
training: epoch 4, step 4800, loss 48.402201, time: 4.114
training: epoch 4, step 5000, loss 48.340228, time: 4.122
training: epoch 4, step 5200, loss 48.296528, time: 4.136
training: epoch 4, step 5400, loss 48.301123, time: 4.081
training: epoch 4, step 5600, loss 48.313471, time: 4.080
training: epoch 4, step 5800, loss 48.279024, time: 4.071
training: epoch 4, step 6000, loss 48.266654, time: 4.071
training: epoch 4, step 6200, loss 48.315813, time: 4.086
training: epoch 4, step 6400, loss 48.333128, time: 4.003
training: epoch 4, step 6600, loss 48.282808, time: 4.059
training: epoch 4, step 6800, loss 48.257168, time: 4.031
training: epoch 4, step 7000, loss 48.253346, time: 4.028
training: epoch 4, step 7200, loss 48.245200, time: 4.011
training: epoch 4, step 7400, loss 48.258422, time: 3.922
training: epoch 4, step 7600, loss 48.224295, time: 3.646
training: epoch 4, step 7800, loss 48.237787, time: 3.891
training: epoch 4, step 7849, loss 48.236605, time: 0.939
validate: epoch 4, loss 47.362756, charcter error 8.601 time: 4.047
    - [Info] The checkpoint file has been updated.
training: epoch 5, step 200, loss 46.503750, time: 3.863
training: epoch 5, step 400, loss 46.555996, time: 3.772
training: epoch 5, step 600, loss 46.628184, time: 3.807
training: epoch 5, step 800, loss 46.738532, time: 3.771
training: epoch 5, step 1000, loss 46.941054, time: 3.757
training: epoch 5, step 1200, loss 46.935687, time: 3.640
training: epoch 5, step 1400, loss 46.933314, time: 3.541
training: epoch 5, step 1600, loss 46.963992, time: 3.534
training: epoch 5, step 1800, loss 46.754165, time: 3.508
training: epoch 5, step 2000, loss 46.652846, time: 3.470
training: epoch 5, step 2200, loss 46.671047, time: 3.444
training: epoch 5, step 2400, loss 46.675475, time: 3.443
training: epoch 5, step 2600, loss 46.759306, time: 3.431
training: epoch 5, step 2800, loss 46.824655, time: 3.419
training: epoch 5, step 3000, loss 46.886336, time: 3.416
training: epoch 5, step 3200, loss 46.879488, time: 3.433
training: epoch 5, step 3400, loss 46.855343, time: 3.440
training: epoch 5, step 3600, loss 47.084930, time: 3.472
training: epoch 5, step 3800, loss 47.085846, time: 3.415
training: epoch 5, step 4000, loss 47.052949, time: 3.473
training: epoch 5, step 4200, loss 47.033582, time: 3.472
training: epoch 5, step 4400, loss 46.959330, time: 3.534
training: epoch 5, step 4600, loss 46.908486, time: 3.544
training: epoch 5, step 4800, loss 46.896500, time: 3.554
training: epoch 5, step 5000, loss 46.867243, time: 3.545
training: epoch 5, step 5200, loss 46.855123, time: 3.561
training: epoch 5, step 5400, loss 46.875850, time: 3.534
training: epoch 5, step 5600, loss 46.847866, time: 3.554
training: epoch 5, step 5800, loss 46.824737, time: 3.611
training: epoch 5, step 6000, loss 46.808312, time: 3.651
training: epoch 5, step 6200, loss 46.809476, time: 3.572
training: epoch 5, step 6400, loss 46.782205, time: 3.584
training: epoch 5, step 6600, loss 46.798152, time: 3.603
training: epoch 5, step 6800, loss 46.813532, time: 3.656
training: epoch 5, step 7000, loss 46.796164, time: 3.631
training: epoch 5, step 7200, loss 46.778176, time: 3.638
training: epoch 5, step 7400, loss 46.716595, time: 3.567
training: epoch 5, step 7600, loss 46.664543, time: 3.626
training: epoch 5, step 7800, loss 46.635240, time: 3.659
training: epoch 5, step 7849, loss 46.616941, time: 0.882
validate: epoch 5, loss 45.900045, charcter error 8.309 time: 4.033
    - [Info] The checkpoint file has been updated.
training: epoch 6, step 200, loss 43.373094, time: 3.567
training: epoch 6, step 400, loss 44.743046, time: 3.409
training: epoch 6, step 600, loss 45.454019, time: 3.422
training: epoch 6, step 800, loss 45.419091, time: 3.437
training: epoch 6, step 1000, loss 45.596821, time: 3.468
training: epoch 6, step 1200, loss 45.672955, time: 3.462
training: epoch 6, step 1400, loss 45.701876, time: 3.460
training: epoch 6, step 1600, loss 45.704609, time: 3.465
training: epoch 6, step 1800, loss 45.789002, time: 3.475
training: epoch 6, step 2000, loss 45.732630, time: 3.475
training: epoch 6, step 2200, loss 45.746972, time: 3.466
training: epoch 6, step 2400, loss 45.897418, time: 3.466
training: epoch 6, step 2600, loss 45.847222, time: 3.464
training: epoch 6, step 2800, loss 45.784385, time: 3.465
training: epoch 6, step 3000, loss 45.763491, time: 3.497
training: epoch 6, step 3200, loss 45.688730, time: 3.470
training: epoch 6, step 3400, loss 45.613731, time: 3.503
training: epoch 6, step 3600, loss 45.634423, time: 3.470
training: epoch 6, step 3800, loss 45.633548, time: 3.441
training: epoch 6, step 4000, loss 45.639353, time: 3.458
training: epoch 6, step 4200, loss 45.662793, time: 3.458
training: epoch 6, step 4400, loss 45.693955, time: 3.444
training: epoch 6, step 4600, loss 45.764172, time: 3.473
training: epoch 6, step 4800, loss 45.717360, time: 3.448
training: epoch 6, step 5000, loss 45.688973, time: 3.498
training: epoch 6, step 5200, loss 45.702874, time: 3.481
training: epoch 6, step 5400, loss 45.657725, time: 3.478
training: epoch 6, step 5600, loss 45.645885, time: 3.487
training: epoch 6, step 5800, loss 45.666940, time: 3.500
training: epoch 6, step 6000, loss 45.652783, time: 3.467
training: epoch 6, step 6200, loss 45.649723, time: 3.459
training: epoch 6, step 6400, loss 45.622065, time: 3.489
training: epoch 6, step 6600, loss 45.584100, time: 3.489
training: epoch 6, step 6800, loss 45.610488, time: 3.458
training: epoch 6, step 7000, loss 45.544142, time: 3.443
training: epoch 6, step 7200, loss 45.518397, time: 3.427
training: epoch 6, step 7400, loss 45.492661, time: 3.420
training: epoch 6, step 7600, loss 45.574821, time: 3.415
training: epoch 6, step 7800, loss 45.581012, time: 3.415
training: epoch 6, step 7849, loss 45.597595, time: 0.840
validate: epoch 6, loss 45.996147, charcter error 8.305 time: 4.037
    - [Info] The checkpoint file has been updated.
training: epoch 7, step 200, loss 45.424130, time: 3.364
training: epoch 7, step 400, loss 45.752748, time: 3.402
training: epoch 7, step 600, loss 45.327535, time: 3.409
training: epoch 7, step 800, loss 45.177072, time: 3.410
training: epoch 7, step 1000, loss 45.176425, time: 3.408
training: epoch 7, step 1200, loss 45.094403, time: 3.413
training: epoch 7, step 1400, loss 44.987591, time: 3.412
training: epoch 7, step 1600, loss 44.848331, time: 3.406
training: epoch 7, step 1800, loss 44.820862, time: 3.407
training: epoch 7, step 2000, loss 44.929760, time: 3.413
training: epoch 7, step 2200, loss 44.947261, time: 3.413
training: epoch 7, step 2400, loss 45.009548, time: 3.413
training: epoch 7, step 2600, loss 45.079496, time: 3.410
training: epoch 7, step 2800, loss 44.990260, time: 3.413
training: epoch 7, step 3000, loss 44.935995, time: 3.413
training: epoch 7, step 3200, loss 44.870169, time: 3.412
training: epoch 7, step 3400, loss 44.936517, time: 3.408
training: epoch 7, step 3600, loss 44.989464, time: 3.413
training: epoch 7, step 3800, loss 44.937887, time: 3.414
training: epoch 7, step 4000, loss 44.925659, time: 3.412
training: epoch 7, step 4200, loss 44.997346, time: 3.411
training: epoch 7, step 4400, loss 45.054144, time: 3.413
training: epoch 7, step 4600, loss 45.054023, time: 3.412
training: epoch 7, step 4800, loss 45.048217, time: 3.415
training: epoch 7, step 5000, loss 45.076925, time: 3.411
training: epoch 7, step 5200, loss 45.051916, time: 3.412
training: epoch 7, step 5400, loss 45.060675, time: 3.409
training: epoch 7, step 5600, loss 45.042303, time: 3.412
training: epoch 7, step 5800, loss 45.069702, time: 3.413
training: epoch 7, step 6000, loss 45.016000, time: 3.412
training: epoch 7, step 6200, loss 44.976391, time: 3.413
training: epoch 7, step 6400, loss 44.941220, time: 3.410
training: epoch 7, step 6600, loss 44.909825, time: 3.413
training: epoch 7, step 6800, loss 44.972236, time: 3.413
training: epoch 7, step 7000, loss 44.951294, time: 3.413
training: epoch 7, step 7200, loss 44.922400, time: 3.410
training: epoch 7, step 7400, loss 44.916688, time: 3.413
training: epoch 7, step 7600, loss 44.891068, time: 3.413
training: epoch 7, step 7800, loss 44.873687, time: 3.411
training: epoch 7, step 7849, loss 44.863183, time: 0.834
validate: epoch 7, loss 44.614116, charcter error 8.036 time: 4.009
    - [Info] The checkpoint file has been updated.
training: epoch 8, step 200, loss 43.930580, time: 3.368
training: epoch 8, step 400, loss 43.607877, time: 3.412
training: epoch 8, step 600, loss 43.444349, time: 3.417
training: epoch 8, step 800, loss 43.387757, time: 3.416
training: epoch 8, step 1000, loss 43.359729, time: 3.415
training: epoch 8, step 1200, loss 43.467687, time: 3.413
training: epoch 8, step 1400, loss 43.556462, time: 3.413
training: epoch 8, step 1600, loss 43.582891, time: 3.413
training: epoch 8, step 1800, loss 43.645155, time: 3.413
training: epoch 8, step 2000, loss 43.813682, time: 3.413
training: epoch 8, step 2200, loss 43.896408, time: 3.413
training: epoch 8, step 2400, loss 43.900730, time: 3.417
training: epoch 8, step 2600, loss 43.856373, time: 3.417
training: epoch 8, step 2800, loss 43.901449, time: 3.413
training: epoch 8, step 3000, loss 43.869480, time: 3.413
training: epoch 8, step 3200, loss 43.802403, time: 3.413
training: epoch 8, step 3400, loss 43.748826, time: 3.413
training: epoch 8, step 3600, loss 43.728671, time: 3.413
training: epoch 8, step 3800, loss 43.690806, time: 3.417
training: epoch 8, step 4000, loss 43.722235, time: 3.417
training: epoch 8, step 4200, loss 43.681673, time: 3.416
training: epoch 8, step 4400, loss 43.762714, time: 3.413
training: epoch 8, step 4600, loss 43.753689, time: 3.413
training: epoch 8, step 4800, loss 43.763505, time: 3.413
training: epoch 8, step 5000, loss 43.721209, time: 3.413
training: epoch 8, step 5200, loss 43.721487, time: 3.413
training: epoch 8, step 5400, loss 43.727095, time: 3.413
training: epoch 8, step 5600, loss 43.740421, time: 3.413
training: epoch 8, step 5800, loss 43.686543, time: 3.413
training: epoch 8, step 6000, loss 43.649966, time: 3.413
training: epoch 8, step 6200, loss 43.602625, time: 3.413
training: epoch 8, step 6400, loss 43.664467, time: 3.414
training: epoch 8, step 6600, loss 43.783591, time: 3.415
training: epoch 8, step 6800, loss 43.808884, time: 3.417
training: epoch 8, step 7000, loss 43.845733, time: 3.413
training: epoch 8, step 7200, loss 43.837194, time: 3.413
training: epoch 8, step 7400, loss 43.907720, time: 3.417
training: epoch 8, step 7600, loss 43.919017, time: 3.413
training: epoch 8, step 7800, loss 43.968876, time: 3.415
training: epoch 8, step 7849, loss 43.970938, time: 0.836
validate: epoch 8, loss 44.923889, charcter error 8.087 time: 4.004
training: epoch 9, step 200, loss 44.353942, time: 3.366
training: epoch 9, step 400, loss 44.302017, time: 3.410
training: epoch 9, step 600, loss 44.320010, time: 3.413
training: epoch 9, step 800, loss 44.445117, time: 3.420
training: epoch 9, step 1000, loss 44.211036, time: 3.413
training: epoch 9, step 1200, loss 44.038556, time: 3.413
training: epoch 9, step 1400, loss 43.980141, time: 3.420
training: epoch 9, step 1600, loss 43.821758, time: 3.414
training: epoch 9, step 1800, loss 43.856050, time: 3.413
training: epoch 9, step 2000, loss 43.769594, time: 3.413
training: epoch 9, step 2200, loss 43.766793, time: 3.413
training: epoch 9, step 2400, loss 43.890929, time: 3.413
training: epoch 9, step 2600, loss 43.867419, time: 3.413
training: epoch 9, step 2800, loss 43.920102, time: 3.413
training: epoch 9, step 3000, loss 44.010233, time: 3.413
training: epoch 9, step 3200, loss 44.147212, time: 3.413
training: epoch 9, step 3400, loss 44.198869, time: 3.413
training: epoch 9, step 3600, loss 44.197018, time: 3.420
training: epoch 9, step 3800, loss 44.244224, time: 3.413
training: epoch 9, step 4000, loss 44.209083, time: 3.414
training: epoch 9, step 4200, loss 44.191073, time: 3.413
training: epoch 9, step 4400, loss 44.143655, time: 3.413
training: epoch 9, step 4600, loss 44.093372, time: 3.414
training: epoch 9, step 4800, loss 44.086138, time: 3.413
training: epoch 9, step 5000, loss 44.068853, time: 3.413
training: epoch 9, step 5200, loss 44.055839, time: 3.413
training: epoch 9, step 5400, loss 44.003225, time: 3.413
training: epoch 9, step 5600, loss 43.979110, time: 3.413
training: epoch 9, step 5800, loss 44.019322, time: 3.413
training: epoch 9, step 6000, loss 44.057940, time: 3.413
training: epoch 9, step 6200, loss 43.994418, time: 3.416
training: epoch 9, step 6400, loss 43.963234, time: 3.413
training: epoch 9, step 6600, loss 43.934107, time: 3.417
training: epoch 9, step 6800, loss 43.920658, time: 3.413
training: epoch 9, step 7000, loss 43.899366, time: 3.413
training: epoch 9, step 7200, loss 43.929735, time: 3.414
training: epoch 9, step 7400, loss 43.946311, time: 3.413
training: epoch 9, step 7600, loss 43.916495, time: 3.414
training: epoch 9, step 7800, loss 43.916486, time: 3.413
training: epoch 9, step 7849, loss 43.901643, time: 0.836
validate: epoch 9, loss 43.958098, charcter error 7.865 time: 3.999
    - [Info] The checkpoint file has been updated.
training: epoch 10, step 200, loss 43.706720, time: 3.365
training: epoch 10, step 400, loss 42.870848, time: 3.404
training: epoch 10, step 600, loss 42.478886, time: 3.412
training: epoch 10, step 800, loss 42.549274, time: 3.413
training: epoch 10, step 1000, loss 42.442000, time: 3.412
training: epoch 10, step 1200, loss 42.476097, time: 3.411
training: epoch 10, step 1400, loss 42.550411, time: 3.411
training: epoch 10, step 1600, loss 42.591452, time: 3.410
training: epoch 10, step 1800, loss 42.627105, time: 3.412
training: epoch 10, step 2000, loss 42.811782, time: 3.407
training: epoch 10, step 2200, loss 42.834502, time: 3.410
training: epoch 10, step 2400, loss 42.829831, time: 3.413
training: epoch 10, step 2600, loss 42.757055, time: 3.414
training: epoch 10, step 2800, loss 42.762445, time: 3.413
training: epoch 10, step 3000, loss 42.772340, time: 3.413
training: epoch 10, step 3200, loss 42.749270, time: 3.413
training: epoch 10, step 3400, loss 42.667911, time: 3.412
training: epoch 10, step 3600, loss 42.659418, time: 3.414
training: epoch 10, step 3800, loss 42.587380, time: 3.414
training: epoch 10, step 4000, loss 42.585691, time: 3.413
training: epoch 10, step 4200, loss 42.539558, time: 3.412
training: epoch 10, step 4400, loss 42.531456, time: 3.412
training: epoch 10, step 4600, loss 42.492768, time: 3.411
training: epoch 10, step 4800, loss 42.514064, time: 3.413
training: epoch 10, step 5000, loss 42.564114, time: 3.412
training: epoch 10, step 5200, loss 42.570483, time: 3.410
training: epoch 10, step 5400, loss 42.684750, time: 3.411
training: epoch 10, step 5600, loss 42.710582, time: 3.413
training: epoch 10, step 5800, loss 42.761605, time: 3.410
training: epoch 10, step 6000, loss 42.770788, time: 3.413
training: epoch 10, step 6200, loss 42.753925, time: 3.413
training: epoch 10, step 6400, loss 42.763783, time: 3.412
training: epoch 10, step 6600, loss 42.770164, time: 3.410
training: epoch 10, step 6800, loss 42.832918, time: 3.410
training: epoch 10, step 7000, loss 42.886476, time: 3.412
training: epoch 10, step 7200, loss 42.931629, time: 3.413
training: epoch 10, step 7400, loss 42.904340, time: 3.413
training: epoch 10, step 7600, loss 42.905274, time: 3.412
training: epoch 10, step 7800, loss 42.870383, time: 3.406
training: epoch 10, step 7849, loss 42.875487, time: 0.836
validate: epoch 10, loss 43.338773, charcter error 7.778 time: 4.015
    - [Info] The checkpoint file has been updated.
training: epoch 11, step 200, loss 42.743839, time: 3.368
training: epoch 11, step 400, loss 42.633555, time: 3.410
training: epoch 11, step 600, loss 42.360822, time: 3.410
training: epoch 11, step 800, loss 42.262971, time: 3.413
training: epoch 11, step 1000, loss 42.300216, time: 3.413
training: epoch 11, step 1200, loss 42.366659, time: 3.413
training: epoch 11, step 1400, loss 42.384031, time: 3.412
training: epoch 11, step 1600, loss 42.438176, time: 3.412
training: epoch 11, step 1800, loss 42.415622, time: 3.414
training: epoch 11, step 2000, loss 42.375979, time: 3.413
training: epoch 11, step 2200, loss 42.532786, time: 3.412
training: epoch 11, step 2400, loss 42.553312, time: 3.413
training: epoch 11, step 2600, loss 42.509781, time: 3.413
training: epoch 11, step 2800, loss 42.491763, time: 3.413
training: epoch 11, step 3000, loss 42.388477, time: 3.412
training: epoch 11, step 3200, loss 42.372622, time: 3.411
training: epoch 11, step 3400, loss 42.377925, time: 3.413
training: epoch 11, step 3600, loss 42.348657, time: 3.414
training: epoch 11, step 3800, loss 42.345518, time: 3.413
training: epoch 11, step 4000, loss 42.238984, time: 3.413
training: epoch 11, step 4200, loss 42.229522, time: 3.413
training: epoch 11, step 4400, loss 42.225726, time: 3.413
training: epoch 11, step 4600, loss 42.198307, time: 3.413
training: epoch 11, step 4800, loss 42.192970, time: 3.413
training: epoch 11, step 5000, loss 42.195031, time: 3.413
training: epoch 11, step 5200, loss 42.157785, time: 3.413
training: epoch 11, step 5400, loss 42.153890, time: 3.413
training: epoch 11, step 5600, loss 42.155196, time: 3.411
training: epoch 11, step 5800, loss 42.133211, time: 3.411
training: epoch 11, step 6000, loss 42.141430, time: 3.412
training: epoch 11, step 6200, loss 42.123727, time: 3.413
training: epoch 11, step 6400, loss 42.133509, time: 3.411
training: epoch 11, step 6600, loss 42.121094, time: 3.407
training: epoch 11, step 6800, loss 42.099656, time: 3.409
training: epoch 11, step 7000, loss 42.090211, time: 3.410
training: epoch 11, step 7200, loss 42.104788, time: 3.404
training: epoch 11, step 7400, loss 42.086250, time: 3.406
training: epoch 11, step 7600, loss 42.056382, time: 3.410
